"subject","age","group","score"
1,3.68,1,5
2,3.13,1,4
3,3.5,1,9
4,4.82,1,7
5,4.81,1,7
6,3.87,1,5
7,3.17,1,7
8,4.81,1,6
9,4.91,1,8
10,4.7,1,11
11,4.63,1,4
12,4.65,1,6
13,4.39,1,8
14,4.65,1,7
15,4.49,1,12
16,3.46,1,2
17,3.58,1,8
18,4.45,1,11
19,3.23,1,3
20,3.99,1,8
21,4.36,2,8
22,3.6,2,10
23,4.87,2,8
24,4.17,2,8
25,4.31,2,10
26,3.11,2,10
27,4.18,2,7
28,4.78,2,16
29,3.59,2,5
30,4.08,2,4
31,4.53,2,6
32,3.4,2,5
33,3.12,2,8
34,3.93,2,4
35,4.47,2,6
36,4.6,2,7
37,4.77,2,10
38,3.57,2,7
39,3.87,2,5
40,4.62,2,15
41,4.12,3,16
42,4.7,3,11
43,4.99,3,13
44,3.52,3,17
45,3.25,3,10
46,3.28,3,12
47,3.13,3,13
48,3.63,3,10
49,3.62,3,9
50,4.65,3,14
51,3.4,3,9
52,4.95,3,11
53,3.11,3,16
54,3.89,3,11
55,4.95,3,12
56,4.52,3,5
57,4.15,3,9
58,4.74,3,17
59,4.7,3,14
60,4.8,3,11
61,4.13,4,17
62,3.04,4,17
63,3.68,4,20
64,4.47,4,19
65,4.95,4,13
66,3.76,4,13
67,4.67,4,6
68,3.99,4,18
69,4.81,4,11
70,3.4,4,19
71,4.12,4,16
72,4.41,4,19
73,4.76,4,16
74,3.67,4,15
75,4.38,4,13
76,4.27,4,12
77,4.78,4,12
78,3.36,4,12
79,3.83,4,22
80,4.68,4,14
